               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0. 5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 136,            0.068434,           0.0019846,           0.0051549,             0.61874,             0.46767,             0.49494,             0.30268,             0.05786,           0.0017875,            0.005276,           0.0021341,           0.0021341,           0.0021341
                 137,            0.068296,           0.0019833,           0.0051359,             0.61077,              0.4713,             0.49491,             0.30265,            0.057857,           0.0017873,           0.0052753,           0.0021207,           0.0021207,           0.0021207
                 138,            0.068422,           0.0019807,            0.005101,             0.61424,             0.46965,             0.49489,             0.30257,            0.057856,           0.0017873,           0.0052751,           0.0021072,           0.0021072,           0.0021072
                 139,            0.068263,            0.001984,           0.0051195,             0.60261,             0.47506,             0.49471,              0.3026,            0.057858,           0.0017873,            0.005276,           0.0020937,           0.0020937,           0.0020937
                 140,             0.06825,           0.0019862,           0.0051368,             0.60486,             0.47418,             0.49473,             0.30248,            0.057856,            0.001787,            0.005278,           0.0020802,           0.0020802,           0.0020802
                 141,            0.068336,           0.0019931,           0.0051234,              0.6013,             0.47642,             0.49488,             0.30258,             0.05785,           0.0017869,           0.0052781,           0.0020667,           0.0020667,           0.0020667
                 142,            0.068075,           0.0019701,           0.0050982,             0.59665,             0.47955,             0.49496,             0.30272,            0.057851,           0.0017867,           0.0052767,           0.0020531,           0.0020531,           0.0020531
                 143,            0.068292,           0.0019842,           0.0051179,             0.61448,             0.46993,             0.49446,             0.30248,            0.057849,           0.0017868,           0.0052775,           0.0020395,           0.0020395,           0.0020395
                 144,            0.068259,           0.0019817,           0.0051127,              0.6006,             0.47796,             0.49468,             0.30251,            0.057849,           0.0017867,           0.0052783,           0.0020259,           0.0020259,           0.0020259
                 145,            0.068155,            0.001963,           0.0050958,             0.59045,             0.48367,             0.49468,             0.30259,            0.057838,           0.0017866,           0.0052786,           0.0020123,           0.0020123,           0.0020123
                 146,             0.06818,           0.0019878,           0.0050753,             0.59449,             0.48134,             0.49477,             0.30283,            0.057837,           0.0017867,           0.0052793,           0.0019986,           0.0019986,           0.0019986
                 147,            0.068229,           0.0019785,            0.005082,             0.60301,             0.47628,             0.49479,              0.3028,            0.057834,            0.001787,           0.0052807,           0.0019849,           0.0019849,           0.0019849
                 148,            0.067929,           0.0019569,           0.0050747,             0.59205,             0.48284,             0.49489,             0.30286,            0.057838,            0.001787,           0.0052825,           0.0019712,           0.0019712,           0.0019712
                 149,            0.067933,           0.0019786,           0.0050786,             0.59885,             0.47815,             0.49473,               0.303,            0.057833,           0.0017866,           0.0052841,           0.0019575,           0.0019575,           0.0019575
